Timestamp,Image Path,Lidar Data
2024-12-15 15:21:57,images/image_20241215_152156.png,"[1.7519575357437134, 1.7309324741363525, 1.6665105819702148, 1.6462681293487549, 1.615015983581543, 1.5759119987487793, 1.5788887739181519, 1.536582350730896, 1.5092799663543701, 1.4908027648925781, 1.4494441747665405, 1.4284348487854004, 1.417213797569275, 1.3927068710327148, 1.389337420463562, 1.3787310123443604, 1.3450284004211426, 1.3318259716033936, 1.3187613487243652, 1.2982202768325806, 1.293619990348816, 1.2766366004943848, 1.2543418407440186, 1.2429540157318115, 1.2499001026153564, 1.22202730178833, 1.2137027978897095, 1.2368793487548828, 1.2279306650161743, 1.2103101015090942]"
2024-12-15 15:21:59,images/image_20241215_152157.png,"[1.7519575357437134, 1.7309324741363525, 1.6665105819702148, 1.6462681293487549, 1.615015983581543, 1.5759119987487793, 1.5788887739181519, 1.536582350730896, 1.5092799663543701, 1.4908027648925781, 1.4494441747665405, 1.4284348487854004, 1.417213797569275, 1.3927068710327148, 1.389337420463562, 1.3787310123443604, 1.3450284004211426, 1.3318259716033936, 1.3187613487243652, 1.2982202768325806, 1.293619990348816, 1.2766366004943848, 1.2543418407440186, 1.2429540157318115, 1.2499001026153564, 1.22202730178833, 1.2137027978897095, 1.2368793487548828, 1.2279306650161743, 1.2103101015090942]"
2024-12-15 15:22:00,images/image_20241215_152159.png,"[1.7519575357437134, 1.7309324741363525, 1.6665105819702148, 1.6462681293487549, 1.615015983581543, 1.5759119987487793, 1.5788887739181519, 1.536582350730896, 1.5092799663543701, 1.4908027648925781, 1.4494441747665405, 1.4284348487854004, 1.417213797569275, 1.3927068710327148, 1.389337420463562, 1.3787310123443604, 1.3450284004211426, 1.3318259716033936, 1.3187613487243652, 1.2982202768325806, 1.293619990348816, 1.2766366004943848, 1.2543418407440186, 1.2429540157318115, 1.2499001026153564, 1.22202730178833, 1.2137027978897095, 1.2368793487548828, 1.2279306650161743, 1.2103101015090942]"
2024-12-15 15:22:01,images/image_20241215_152200.png,"[1.7510539293289185, 1.7075626850128174, 1.6788157224655151, 1.6446727514266968, 1.6039470434188843, 1.5985380411148071, 1.5395493507385254, 1.5365464687347412, 1.5137829780578613, 1.4795950651168823, 1.458640217781067, 1.4288408756256104, 1.4303550720214844, 1.3865934610366821, 1.4020313024520874, 1.366978645324707, 1.339800477027893, 1.3409000635147095, 1.3091423511505127, 1.3218355178833008, 1.2872110605239868, 1.2706207036972046, 1.2507625818252563, 1.2494456768035889, 1.2517791986465454, 1.2133787870407104, 1.2116934061050415, 1.2135530710220337, 1.1843689680099487, 1.1918469667434692]"
2024-12-15 15:22:02,images/image_20241215_152201.png,"[1.7594773769378662, 1.6982976198196411, 1.6844093799591064, 1.6714961528778076, 1.6173964738845825, 1.5964274406433105, 1.5565286874771118, 1.5194344520568848, 1.5150606632232666, 1.4773344993591309, 1.4642999172210693, 1.4500480890274048, 1.4171311855316162, 1.4073930978775024, 1.3861761093139648, 1.375225305557251, 1.3472180366516113, 1.333639144897461, 1.3361291885375977, 1.3143912553787231, 1.2964280843734741, 1.2797462940216064, 1.28159761428833, 1.2656793594360352, 1.2413073778152466, 1.221563458442688, 1.2300001382827759, 1.2080963850021362, 1.1757398843765259, 1.196386456489563]"
2024-12-15 15:22:03,images/image_20241215_152202.png,"[1.7594773769378662, 1.6982976198196411, 1.6844093799591064, 1.6714961528778076, 1.6173964738845825, 1.5964274406433105, 1.5565286874771118, 1.5194344520568848, 1.5150606632232666, 1.4773344993591309, 1.4642999172210693, 1.4500480890274048, 1.4171311855316162, 1.4073930978775024, 1.3861761093139648, 1.375225305557251, 1.3472180366516113, 1.333639144897461, 1.3361291885375977, 1.3143912553787231, 1.2964280843734741, 1.2797462940216064, 1.28159761428833, 1.2656793594360352, 1.2413073778152466, 1.221563458442688, 1.2300001382827759, 1.2080963850021362, 1.1757398843765259, 1.196386456489563]"
2024-12-15 15:22:03,images/image_20241215_152203.png,"[1.7463411092758179, 1.7250231504440308, 1.694535732269287, 1.6369423866271973, 1.6086164712905884, 1.5887480974197388, 1.5509146451950073, 1.5274215936660767, 1.5027045011520386, 1.4815946817398071, 1.479832410812378, 1.4415228366851807, 1.4339030981063843, 1.3978570699691772, 1.3858929872512817, 1.364728569984436, 1.333823323249817, 1.3627363443374634, 1.3253501653671265, 1.2946234941482544, 1.2948278188705444, 1.286122441291809, 1.263821005821228, 1.2597171068191528, 1.2626709938049316, 1.214627981185913, 1.2150441408157349, 1.2168364524841309, 1.187604308128357, 1.1904277801513672]"
2024-12-15 15:22:04,images/image_20241215_152203.png,"[1.7851895093917847, 1.7565619945526123, 1.712266445159912, 1.6770846843719482, 1.6345770359039307, 1.5981323719024658, 1.5749413967132568, 1.5538564920425415, 1.5343303680419922, 1.4881850481033325, 1.4788235425949097, 1.4599112272262573, 1.4390277862548828, 1.421614408493042, 1.406769037246704, 1.3906902074813843, 1.3598142862319946, 1.3734935522079468, 1.3361012935638428, 1.3056836128234863, 1.2874878644943237, 1.2914742231369019, 1.2753446102142334, 1.2539783716201782, 1.2483075857162476, 1.252974033355713, 1.2283347845077515, 1.2112934589385986, 1.2014009952545166, 1.2179079055786133]"
2024-12-15 15:22:05,images/image_20241215_152204.png,"[inf, 1.8347609043121338, 1.7905772924423218, 1.762072205543518, 1.7120722532272339, 1.7045412063598633, 1.642199158668518, 1.6459107398986816, 1.5947661399841309, 1.5575307607650757, 1.5236932039260864, 1.5117073059082031, 1.492543339729309, 1.4711381196975708, 1.4366278648376465, 1.4078363180160522, 1.4241952896118164, 1.3899587392807007, 1.3646420240402222, 1.3517074584960938, 1.3246345520019531, 1.3308231830596924, 1.3196543455123901, 1.2867505550384521, 1.290414571762085, 1.2679266929626465, 1.2633296251296997, 1.2457871437072754, 1.2368969917297363, 1.2267613410949707]"
2024-12-15 15:22:07,images/image_20241215_152205.png,"[inf, 1.8347609043121338, 1.7905772924423218, 1.762072205543518, 1.7120722532272339, 1.7045412063598633, 1.642199158668518, 1.6459107398986816, 1.5947661399841309, 1.5575307607650757, 1.5236932039260864, 1.5117073059082031, 1.492543339729309, 1.4711381196975708, 1.4366278648376465, 1.4078363180160522, 1.4241952896118164, 1.3899587392807007, 1.3646420240402222, 1.3517074584960938, 1.3246345520019531, 1.3308231830596924, 1.3196543455123901, 1.2867505550384521, 1.290414571762085, 1.2679266929626465, 1.2633296251296997, 1.2457871437072754, 1.2368969917297363, 1.2267613410949707]"
